Section,Section Description,Item Name,Quantity,Unit Cost,Unit,Cost Code,Markup,Markup Type,Item Type,Is Taxable,Is Optional,Assigned To,CF IGNORE - LINE VALUE,CF IGNORE - Zero value Section Validation,CF IGNORE - LINE VALUE FOR CUSTOMER SUMMARY,CF IGNORE - INCLUDE PRICE IN CUSTOMER SUMMARY
Cementitious tanking system,,Difficulty hours (additional hours if required),0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Cementitious tanking system,,Cementitious tanking system - Materials,1.0000000000,0.0000000000,EACH,Damp Materials,#DIV/0!,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,Yes
Cementitious tanking system,,Cementitious tanking system - Labour,0.0000000000,#DIV/0!,Hours,Damp Labour,#DIV/0!,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,Yes
,,,,,,,,,,,,,,DELETE,,
Floor - Liquid Resin floor Membranes ,,EP40 2 Pack resin Primer,0.0000000000,0.0000000000,Each,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Floor - Liquid Resin floor Membranes ,,EP40 2 Pack resin top coat,0.0000000000,0.0000000000,Each,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Floor - Liquid Resin floor Membranes ,,Wall/floor fillet joint,0.0000000000,0.0000000000,Each,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Floor - Liquid Resin floor Membranes ,,Grip grit,0.0000000000,0.0000000000,Each,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Floor - Liquid Resin floor Membranes ,,Difficulty hours (additional hours if required),0.0000000000,0.0000000000,Each,Damp Materials,0.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Floor - Liquid Resin floor Membranes ,,EP40 2 Pack resin Primer,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Floor - Liquid Resin floor Membranes ,,EP40 2 Pack resin top coat,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Floor - Liquid Resin floor Membranes ,,Wall/floor fillet joint,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Floor - Liquid Resin floor Membranes ,,Grip grit,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Floor - Liquid Resin floor Membranes ,,Difficulty hours (additional hours if required),0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Floor - Liquid Resin floor Membranes ,,Floor - Liquid Resin floor Membranes  - Materials,1.0000000000,0.0000000000,EACH,Damp Materials,#DIV/0!,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,Yes
Floor - Liquid Resin floor Membranes ,,Floor - Liquid Resin floor Membranes  - Labour,0.0000000000,#DIV/0!,Hours,Damp Labour,#DIV/0!,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,Yes
,,,,,,,,,,,,,,DELETE,,
Plastering & finishing,,Construct stud wall to perimeter,0.0000000000,14.0000000000,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Plastering & finishing,,Plaster boarding (inc dab/screws),0.0000000000,9.7559198543,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Plastering & finishing,,Skimming walls (multi finish plaster),0.0000000000,0.0000000000,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Plastering & finishing,,Plastering Stop Bead - 3m length,0.0000000000,1.1000000000,Each,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Plastering & finishing,,Plastering Thin Coat Angle/Corner Bead - 2.4m length,0.0000000000,1.8260000000,Each,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Plastering & finishing,,Plastering Thin Coat Angle/Corner Bead - 3m length,0.0000000000,2.7500000000,Each,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Plastering & finishing,,"Difficulty hours (fireplace, corners etc)",0.0000000000,0.0000000000,Hours,Damp Materials,0.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Plastering & finishing,,Construct stud wall to perimeter,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Plastering & finishing,,Plaster boarding (inc dab/screws),0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Plastering & finishing,,Skimming walls (multi finish plaster),0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Plastering & finishing,,Plastering Stop Bead - 3m length,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Plastering & finishing,,Plastering Thin Coat Angle/Corner Bead - 2.4m length,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Plastering & finishing,,Plastering Thin Coat Angle/Corner Bead - 3m length,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Plastering & finishing,,"Difficulty hours (fireplace, corners etc)",0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Plastering & finishing,,Plastering & finishing - Materials,1.0000000000,0.0000000000,EACH,Damp Materials,#DIV/0!,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,Yes
Plastering & finishing,,Plastering & finishing - Labour,0.0000000000,#DIV/0!,Hours,Damp Labour,#DIV/0!,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,Yes
,,,,,,,,,,,,,,DELETE,,
Warmline Internal Wall Insulation,,Warmline Internal Wall Insulation,0.0000000000,0.0000000000,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Warmline Internal Wall Insulation,,Warmline Internal Wall Insulation,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Warmline Internal Wall Insulation,,Warmline Internal Wall Insulation - Materials,1.0000000000,0.0000000000,EACH,Damp Materials,#DIV/0!,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,Yes
Warmline Internal Wall Insulation,,Warmline Internal Wall Insulation - Labour,0.0000000000,#DIV/0!,Hours,Damp Labour,#DIV/0!,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,Yes
,,,,,,,,,,,,,,DELETE,,
Floor Joists & Floor Decking,,"Joists, 100 x 50",0.0000000000,5.4600000000,LM,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,"Joists, 125 x 50",0.0000000000,6.5000000000,LM,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,"Joists, 150 x 50",0.0000000000,7.7000000000,LM,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,"Joists, 175 x 50",0.0000000000,8.0000000000,LM,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,"Joists, 200 x 50",0.0000000000,8.9000000000,LM,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,"Joists, 225 x 50",0.0000000000,9.5000000000,LM,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,Treat and endwrap joist,0.0000000000,3.0000000000,Each,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,Wall plate 100x25,0.0000000000,4.8400000000,Each,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,Bower beams (pair),0.0000000000,36.0000000000,Pairs,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,Flitch plates (pair),0.0000000000,42.0000000000,Pairs,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,Difficulty hours (additional hours if required),0.0000000000,0.0000000000,Hours,Damp Materials,0.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,"Joists, 100 x 50",0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,"Joists, 125 x 50",0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,"Joists, 150 x 50",0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,"Joists, 175 x 50",0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,"Joists, 200 x 50",0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,"Joists, 225 x 50",0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,Treat and endwrap joist,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,Wall plate 100x25,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,Bower beams (pair),0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,Flitch plates (pair),0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,Difficulty hours (additional hours if required),0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Floor Joists & Floor Decking,,Install Weyrock flooring 18mm (M2),1.0000000000,18.0000000000,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,18.0000000000,DELETE,23.4000000000,No
Floor Joists & Floor Decking,,Install Weyrock flooring 22mm (M2),1.0000000000,22.0000000000,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,22.0000000000,DELETE,28.6000000000,No
Floor Joists & Floor Decking,,Install std T&G Floorboards (M2),1.0000000000,46.3000000000,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,46.3000000000,DELETE,60.1900000000,No
Floor Joists & Floor Decking,,Install Victorian T&G Floorboards (M2),1.0000000000,52.8000000000,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,52.8000000000,DELETE,68.6400000000,No
Floor Joists & Floor Decking,,Install Engineered Flooring sheet (M2),1.0000000000,49.9900000000,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,49.9900000000,DELETE,64.9870000000,No
